,funcao,qtd_terceirizados,data
0,Ajudante de Bombeiro Hidráulico,5,2014-01-01
1,Ajudante de Eletricista,5,2014-01-01
2,Almoxarife,1,2014-01-01
3,Alvenaria,4,2014-01-01
4,Ascensorista,40,2014-01-01
5,Assistente de Fotografia,2,2014-01-01
6,Auxiliar Administrativo,1,2014-01-01
7,Auxiliar Técnico,5,2014-01-01
8,Auxiliar de Almoxarifado,24,2014-01-01
9,Auxiliar de Alvenaria,6,2014-01-01
10,Auxiliar de Biblioteca,14,2014-01-01
11,Auxiliar de Educação Infantil,22,2014-01-01
12,Auxiliar de Marcenaria,2,2014-01-01
13,Auxiliar de Mecânico de Refrigeração,3,2014-01-01
14,Auxiliar de Recepção,10,2014-01-01
15,Auxiliar de Supervisão de Marcenaria,1,2014-01-01
16,Bombeiro Civil Líder,2,2014-01-01
17,Bombeiro Civil Noturno 12X36,10,2014-01-01
18,Bombeiro Hidráulico,9,2014-01-01
19,Bomberiro Civil Diurno 12X36,26,2014-01-01
20,Borracheiro,2,2014-01-01
21,Copeira,56,2014-01-01
22,Copeiro,2,2014-01-01
23,Cozinheira,4,2014-01-01
24,Desenhista em CAD,2,2014-01-01
25,Digitalizador,147,2014-01-01
26,Eletricista,16,2014-01-01
27,Eletricista de Autos,2,2014-01-01
28,Encarregado Geral,1,2014-01-01
29,Encarregado de Elétrica,2,2014-01-01
30,Encarregado de Hidráulica,1,2014-01-01
31,Encarregado de Mecânica de Refrigeração,1,2014-01-01
32,Enfermeira Auditora,2,2014-01-01
33,Engenheiro Eletricista,2,2014-01-01
34,Engenheiro Mecânico,2,2014-01-01
35,Engenheiro Senior,1,2014-01-01
36,Engenheiro de Sistemas,1,2014-01-01
37,Garçom,29,2014-01-01
38,Garçonete,6,2014-01-01
39,Gesseiro,1,2014-01-01
40,Instrumentador Técnico,1,2014-01-01
41,Jardineiro,10,2014-01-01
42,Jauzeiro,9,2014-01-01
43,Lavador,14,2014-01-01
44,Lustrador,2,2014-01-01
45,Manutenção e Suporte Técnico,7,2014-01-01
46,Marceneiro,8,2014-01-01
47,Mecânico Leve,3,2014-01-01
48,Mecânico Pesado,3,2014-01-01
49,Mecânico de Refrigeração,6,2014-01-01
50,Mensageiro,46,2014-01-01
51,Mensageiro de Gabinete,64,2014-01-01
52,Motorista,130,2014-01-01
53,Médico Auditor,5,2014-01-01
54,Oficial Eletricista,3,2014-01-01
55,Operador da Central de Detecção,2,2014-01-01
56,Operador da Central de Supervisão Predial,2,2014-01-01
57,Operador da Central de Água Gelada,4,2014-01-01
58,Operador de Micro,1,2014-01-01
59,Operador de Áudio e Vídeo,2,2014-01-01
60,Pedagoga,1,2014-01-01
61,Pintor,3,2014-01-01
62,Preparador de Documentos,29,2014-01-01
63,Recepcionista,86,2014-01-01
64,Servente,201,2014-01-01
65,Supervisor,27,2014-01-01
66,Supervisor Geral de Serventes,1,2014-01-01
67,Supervisor de Jardinagem,1,2014-01-01
68,Supervisor de Marcenaria,1,2014-01-01
69,Supervisor de Mensageiria,2,2014-01-01
70,Supervisor de Vigilância,9,2014-01-01
71,Supervisão Geral de Vigilância,1,2014-01-01
72,Telefonista,9,2014-01-01
73,Técnico de Elevador Residente,1,2014-01-01
74,Técnico em Detecção e Alarme de Incêndio,1,2014-01-01
75,Técnico em Edificações,1,2014-01-01
76,Técnico em Eletrônica I,5,2014-01-01
77,Técnico em Eletrônica II,2,2014-01-01
78,Técnico em Manutenção,1,2014-01-01
79,Técnico em Máquinas,1,2014-01-01
80,Técnico em Rede Estruturada,3,2014-01-01
81,Técnico em Refrigeração,1,2014-01-01
82,Técnico em Secretariado,88,2014-01-01
83,Técnico em Secretariado I,20,2014-01-01
84,Técnico em Secretariado II,36,2014-01-01
85,Vigilante/Vigilância,267,2014-01-01
86,Webdesigner,2,2014-01-01
87,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2014-01-01
0,Ajudante de Bombeiro Hidráulico,5,2014-02-01
1,Ajudante de Eletricista,5,2014-02-01
2,Almoxarife,1,2014-02-01
3,Alvenaria,4,2014-02-01
4,Ascensorista,40,2014-02-01
5,Assistente de Fotografia,2,2014-02-01
6,Auxiliar Administrativo,1,2014-02-01
7,Auxiliar Técnico,5,2014-02-01
8,Auxiliar de Almoxarifado,24,2014-02-01
9,Auxiliar de Alvenaria,6,2014-02-01
10,Auxiliar de Biblioteca,14,2014-02-01
11,Auxiliar de Educação Infantil,22,2014-02-01
12,Auxiliar de Marcenaria,2,2014-02-01
13,Auxiliar de Mecânico de Refrigeração,3,2014-02-01
14,Auxiliar de Recepção,10,2014-02-01
15,Auxiliar de Supervisão de Marcenaria,1,2014-02-01
16,Bombeiro Civil Líder,2,2014-02-01
17,Bombeiro Civil Noturno 12X36,10,2014-02-01
18,Bombeiro Hidráulico,9,2014-02-01
19,Bomberiro Civil Diurno 12X36,26,2014-02-01
20,Borracheiro,2,2014-02-01
21,Copeira,56,2014-02-01
22,Copeiro,2,2014-02-01
23,Cozinheira,4,2014-02-01
24,Desenhista em CAD,2,2014-02-01
25,Digitalizador,147,2014-02-01
26,Eletricista,16,2014-02-01
27,Eletricista de Autos,2,2014-02-01
28,Encarregado Geral,1,2014-02-01
29,Encarregado de Elétrica,2,2014-02-01
30,Encarregado de Hidráulica,1,2014-02-01
31,Encarregado de Mecânica de Refrigeração,1,2014-02-01
32,Enfermeira Auditora,2,2014-02-01
33,Engenheiro Eletricista,2,2014-02-01
34,Engenheiro Mecânico,2,2014-02-01
35,Engenheiro Senior,1,2014-02-01
36,Engenheiro de Sistemas,1,2014-02-01
37,Garçom,29,2014-02-01
38,Garçonete,6,2014-02-01
39,Gesseiro,1,2014-02-01
40,Instrumentador Técnico,1,2014-02-01
41,Jardineiro,10,2014-02-01
42,Jauzeiro,9,2014-02-01
43,Lavador,14,2014-02-01
44,Lustrador,2,2014-02-01
45,Manutenção e Suporte Técnico,7,2014-02-01
46,Marceneiro,8,2014-02-01
47,Mecânico Leve,3,2014-02-01
48,Mecânico Pesado,3,2014-02-01
49,Mecânico de Refrigeração,6,2014-02-01
50,Mensageiro,46,2014-02-01
51,Mensageiro de Gabinete,64,2014-02-01
52,Motorista,130,2014-02-01
53,Médico Auditor,5,2014-02-01
54,Oficial Eletricista,3,2014-02-01
55,Operador da Central de Detecção,2,2014-02-01
56,Operador da Central de Supervisão Predial,2,2014-02-01
57,Operador da Central de Água Gelada,4,2014-02-01
58,Operador de Micro,1,2014-02-01
59,Operador de Áudio e Vídeo,2,2014-02-01
60,Pedagoga,1,2014-02-01
61,Pintor,3,2014-02-01
62,Preparador de Documentos,29,2014-02-01
63,Recepcionista,86,2014-02-01
64,Servente,201,2014-02-01
65,Supervisor,27,2014-02-01
66,Supervisor Geral de Serventes,1,2014-02-01
67,Supervisor de Jardinagem,1,2014-02-01
68,Supervisor de Marcenaria,1,2014-02-01
69,Supervisor de Mensageiria,2,2014-02-01
70,Supervisor de Vigilância,9,2014-02-01
71,Supervisão Geral de Vigilância,1,2014-02-01
72,Telefonista,9,2014-02-01
73,Técnico de Elevador Residente,1,2014-02-01
74,Técnico em Detecção e Alarme de Incêndio,1,2014-02-01
75,Técnico em Edificações,1,2014-02-01
76,Técnico em Eletrônica I,5,2014-02-01
77,Técnico em Eletrônica II,2,2014-02-01
78,Técnico em Manutenção,1,2014-02-01
79,Técnico em Máquinas,1,2014-02-01
80,Técnico em Rede Estruturada,3,2014-02-01
81,Técnico em Refrigeração,1,2014-02-01
82,Técnico em Secretariado,88,2014-02-01
83,Técnico em Secretariado I,20,2014-02-01
84,Técnico em Secretariado II,36,2014-02-01
85,Vigilante/Vigilância,267,2014-02-01
86,Webdesigner,2,2014-02-01
87,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2014-02-01
0,Ajudante de Bombeiro Hidráulico,5,2014-03-01
1,Ajudante de Eletricista,5,2014-03-01
2,Almoxarife,1,2014-03-01
3,Alvenaria,4,2014-03-01
4,Ascensorista,40,2014-03-01
5,Assistente de Fotografia,2,2014-03-01
6,Auxiliar Administrativo,1,2014-03-01
7,Auxiliar Técnico,5,2014-03-01
8,Auxiliar de Almoxarifado,24,2014-03-01
9,Auxiliar de Alvenaria,6,2014-03-01
10,Auxiliar de Biblioteca,14,2014-03-01
11,Auxiliar de Educação Infantil,22,2014-03-01
12,Auxiliar de Marcenaria,2,2014-03-01
13,Auxiliar de Mecânico de Refrigeração,3,2014-03-01
14,Auxiliar de Recepção,10,2014-03-01
15,Auxiliar de Supervisão de Marcenaria,1,2014-03-01
16,Bombeiro Civil Líder,2,2014-03-01
17,Bombeiro Civil Noturno 12X36,10,2014-03-01
18,Bombeiro Hidráulico,9,2014-03-01
19,Bomberiro Civil Diurno 12X36,26,2014-03-01
20,Borracheiro,2,2014-03-01
21,Copeira,56,2014-03-01
22,Copeiro,2,2014-03-01
23,Cozinheira,4,2014-03-01
24,Desenhista em CAD,2,2014-03-01
25,Digitalizador,147,2014-03-01
26,Eletricista,16,2014-03-01
27,Eletricista de Autos,2,2014-03-01
28,Encarregado Geral,1,2014-03-01
29,Encarregado de Elétrica,2,2014-03-01
30,Encarregado de Hidráulica,1,2014-03-01
31,Encarregado de Mecânica de Refrigeração,1,2014-03-01
32,Enfermeira Auditora,2,2014-03-01
33,Engenheiro Eletricista,2,2014-03-01
34,Engenheiro Mecânico,2,2014-03-01
35,Engenheiro Senior,1,2014-03-01
36,Engenheiro de Sistemas,1,2014-03-01
37,Garçom,29,2014-03-01
38,Garçonete,6,2014-03-01
39,Gesseiro,1,2014-03-01
40,Instrumentador Técnico,1,2014-03-01
41,Jardineiro,10,2014-03-01
42,Jauzeiro,9,2014-03-01
43,Lavador,14,2014-03-01
44,Lustrador,2,2014-03-01
45,Manutenção e Suporte Técnico,7,2014-03-01
46,Marceneiro,8,2014-03-01
47,Mecânico Leve,3,2014-03-01
48,Mecânico Pesado,3,2014-03-01
49,Mecânico de Refrigeração,6,2014-03-01
50,Mensageiro,46,2014-03-01
51,Mensageiro de Gabinete,64,2014-03-01
52,Motorista,130,2014-03-01
53,Médico Auditor,5,2014-03-01
54,Oficial Eletricista,3,2014-03-01
55,Operador da Central de Detecção,2,2014-03-01
56,Operador da Central de Supervisão Predial,2,2014-03-01
57,Operador da Central de Água Gelada,4,2014-03-01
58,Operador de Micro,1,2014-03-01
59,Operador de Áudio e Vídeo,2,2014-03-01
60,Pedagoga,1,2014-03-01
61,Pintor,3,2014-03-01
62,Preparador de Documentos,29,2014-03-01
63,Recepcionista,87,2014-03-01
64,Servente,197,2014-03-01
65,Supervisor,27,2014-03-01
66,Supervisor Geral de Serventes,1,2014-03-01
67,Supervisor de Jardinagem,1,2014-03-01
68,Supervisor de Marcenaria,1,2014-03-01
69,Supervisor de Mensageiria,2,2014-03-01
70,Supervisor de Vigilância,9,2014-03-01
71,Supervisão Geral de Vigilância,1,2014-03-01
72,Telefonista,9,2014-03-01
73,Técnico de Elevador Residente,1,2014-03-01
74,Técnico em Detecção e Alarme de Incêndio,1,2014-03-01
75,Técnico em Edificações,1,2014-03-01
76,Técnico em Eletrônica I,5,2014-03-01
77,Técnico em Eletrônica II,2,2014-03-01
78,Técnico em Manutenção,1,2014-03-01
79,Técnico em Máquinas,1,2014-03-01
80,Técnico em Rede Estruturada,3,2014-03-01
81,Técnico em Refrigeração,1,2014-03-01
82,Técnico em Secretariado,88,2014-03-01
83,Técnico em Secretariado I,20,2014-03-01
84,Técnico em Secretariado II,33,2014-03-01
85,Vigilante/Vigilância,268,2014-03-01
86,Webdesigner,2,2014-03-01
87,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2014-03-01
0,Ajudante de Bombeiro Hidráulico,5,2014-04-01
1,Ajudante de Eletricista,5,2014-04-01
2,Almoxarife,1,2014-04-01
3,Alvenaria,4,2014-04-01
4,Ascensorista,40,2014-04-01
5,Assistente de Fotografia,2,2014-04-01
6,Auxiliar Administrativo,1,2014-04-01
7,Auxiliar Técnico,5,2014-04-01
8,Auxiliar de Almoxarifado,24,2014-04-01
9,Auxiliar de Alvenaria,6,2014-04-01
10,Auxiliar de Biblioteca,14,2014-04-01
11,Auxiliar de Educação Infantil,22,2014-04-01
12,Auxiliar de Marcenaria,2,2014-04-01
13,Auxiliar de Mecânico de Refrigeração,3,2014-04-01
14,Auxiliar de Recepção,10,2014-04-01
15,Auxiliar de Supervisão de Marcenaria,1,2014-04-01
16,Bombeiro Civil Líder,2,2014-04-01
17,Bombeiro Civil Noturno 12X36,10,2014-04-01
18,Bombeiro Hidráulico,9,2014-04-01
19,Bomberiro Civil Diurno 12X36,26,2014-04-01
20,Borracheiro,2,2014-04-01
21,Copeira,56,2014-04-01
22,Copeiro,2,2014-04-01
23,Cozinheira,4,2014-04-01
24,Desenhista em CAD,2,2014-04-01
25,Digitalizador,138,2014-04-01
26,Eletricista,16,2014-04-01
27,Eletricista de Autos,2,2014-04-01
28,Encarregado Geral,1,2014-04-01
29,Encarregado de Elétrica,2,2014-04-01
30,Encarregado de Hidráulica,1,2014-04-01
31,Encarregado de Mecânica de Refrigeração,1,2014-04-01
32,Enfermeira Auditora,2,2014-04-01
33,Engenheiro Eletricista,2,2014-04-01
34,Engenheiro Mecânico,2,2014-04-01
35,Engenheiro Senior,1,2014-04-01
36,Engenheiro de Sistemas,1,2014-04-01
37,Garçom,29,2014-04-01
38,Garçonete,6,2014-04-01
39,Gesseiro,1,2014-04-01
40,Instrumentador Técnico,1,2014-04-01
41,Jardineiro,10,2014-04-01
42,Jauzeiro,9,2014-04-01
43,Lavador,14,2014-04-01
44,Lustrador,2,2014-04-01
45,Manutenção e Suporte Técnico,7,2014-04-01
46,Marceneiro,8,2014-04-01
47,Mecânico Leve,3,2014-04-01
48,Mecânico Pesado,3,2014-04-01
49,Mecânico de Refrigeração,6,2014-04-01
50,Mensageiro,46,2014-04-01
51,Mensageiro de Gabinete,64,2014-04-01
52,Motorista,130,2014-04-01
53,Médico Auditor,5,2014-04-01
54,Oficial Eletricista,3,2014-04-01
55,Operador da Central de Detecção,2,2014-04-01
56,Operador da Central de Supervisão Predial,2,2014-04-01
57,Operador da Central de Água Gelada,4,2014-04-01
58,Operador de Micro,1,2014-04-01
59,Operador de Áudio e Vídeo,2,2014-04-01
60,Pedagoga,1,2014-04-01
61,Pintor,3,2014-04-01
62,Preparador de Documentos,29,2014-04-01
63,Recepcionista,87,2014-04-01
64,Servente,197,2014-04-01
65,Supervisor,27,2014-04-01
66,Supervisor Geral de Serventes,1,2014-04-01
67,Supervisor de Jardinagem,1,2014-04-01
68,Supervisor de Marcenaria,1,2014-04-01
69,Supervisor de Mensageiria,2,2014-04-01
70,Supervisor de Vigilância,9,2014-04-01
71,Supervisão Geral de Vigilância,1,2014-04-01
72,Telefonista,9,2014-04-01
73,Técnico de Elevador Residente,1,2014-04-01
74,Técnico em Detecção e Alarme de Incêndio,1,2014-04-01
75,Técnico em Edificações,1,2014-04-01
76,Técnico em Eletrônica I,5,2014-04-01
77,Técnico em Eletrônica II,2,2014-04-01
78,Técnico em Manutenção,1,2014-04-01
79,Técnico em Máquinas,1,2014-04-01
80,Técnico em Rede Estruturada,3,2014-04-01
81,Técnico em Refrigeração,1,2014-04-01
82,Técnico em Secretariado,88,2014-04-01
83,Técnico em Secretariado I,20,2014-04-01
84,Técnico em Secretariado II,33,2014-04-01
85,Vigilante/Vigilância,268,2014-04-01
86,Webdesigner,2,2014-04-01
87,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2014-04-01
0,Ajudante de Bombeiro Hidráulico,5,2014-05-01
1,Ajudante de Eletricista,5,2014-05-01
2,Almoxarife,1,2014-05-01
3,Alvenaria,4,2014-05-01
4,Ascensorista,40,2014-05-01
5,Assistente de Fotografia,2,2014-05-01
6,Auxiliar Administrativo,1,2014-05-01
7,Auxiliar Técnico,5,2014-05-01
8,Auxiliar de Almoxarifado,24,2014-05-01
9,Auxiliar de Alvenaria,6,2014-05-01
10,Auxiliar de Biblioteca,14,2014-05-01
11,Auxiliar de Educação Infantil,22,2014-05-01
12,Auxiliar de Marcenaria,2,2014-05-01
13,Auxiliar de Mecânico de Refrigeração,3,2014-05-01
14,Auxiliar de Recepção,10,2014-05-01
15,Auxiliar de Supervisão de Marcenaria,1,2014-05-01
16,Bombeiro Civil Líder,2,2014-05-01
17,Bombeiro Civil Noturno 12X36,10,2014-05-01
18,Bombeiro Hidráulico,9,2014-05-01
19,Bomberiro Civil Diurno 12X36,26,2014-05-01
20,Borracheiro,2,2014-05-01
21,Copeira,56,2014-05-01
22,Copeiro,2,2014-05-01
23,Cozinheira,4,2014-05-01
24,Desenhista em CAD,2,2014-05-01
25,Digitalizador,138,2014-05-01
26,Eletricista,16,2014-05-01
27,Eletricista de Autos,2,2014-05-01
28,Encarregado Geral,1,2014-05-01
29,Encarregado de Elétrica,2,2014-05-01
30,Encarregado de Hidráulica,1,2014-05-01
31,Encarregado de Mecânica de Refrigeração,1,2014-05-01
32,Enfermeira Auditora,2,2014-05-01
33,Engenheiro Eletricista,2,2014-05-01
34,Engenheiro Mecânico,2,2014-05-01
35,Engenheiro Senior,1,2014-05-01
36,Engenheiro de Sistemas,1,2014-05-01
37,Garçom,29,2014-05-01
38,Garçonete,6,2014-05-01
39,Gesseiro,1,2014-05-01
40,Instrumentador Técnico,1,2014-05-01
41,Jardineiro,10,2014-05-01
42,Jauzeiro,9,2014-05-01
43,Lavador,14,2014-05-01
44,Lustrador,2,2014-05-01
45,Manutenção e Suporte Técnico,7,2014-05-01
46,Marceneiro,8,2014-05-01
47,Mecânico Leve,3,2014-05-01
48,Mecânico Pesado,3,2014-05-01
49,Mecânico de Refrigeração,6,2014-05-01
50,Mensageiro,44,2014-05-01
51,Mensageiro de Gabinete,63,2014-05-01
52,Motorista,130,2014-05-01
53,Médico Auditor,5,2014-05-01
54,Oficial Eletricista,3,2014-05-01
55,Operador da Central de Detecção,2,2014-05-01
56,Operador da Central de Supervisão Predial,2,2014-05-01
57,Operador da Central de Água Gelada,4,2014-05-01
58,Operador de Micro,1,2014-05-01
59,Operador de Áudio e Vídeo,2,2014-05-01
60,Pedagoga,1,2014-05-01
61,Pintor,3,2014-05-01
62,Preparador de Documentos,29,2014-05-01
63,Recepcionista,88,2014-05-01
64,Servente,198,2014-05-01
65,Supervisor,27,2014-05-01
66,Supervisor Geral de Serventes,1,2014-05-01
67,Supervisor de Jardinagem,1,2014-05-01
68,Supervisor de Marcenaria,1,2014-05-01
69,Supervisor de Mensageiria,2,2014-05-01
70,Supervisor de Vigilância,9,2014-05-01
71,Supervisão Geral de Vigilância,1,2014-05-01
72,Telefonista,9,2014-05-01
73,Técnico de Elevador Residente,1,2014-05-01
74,Técnico em Detecção e Alarme de Incêndio,1,2014-05-01
75,Técnico em Edificações,1,2014-05-01
76,Técnico em Eletrônica I,5,2014-05-01
77,Técnico em Eletrônica II,2,2014-05-01
78,Técnico em Manutenção,1,2014-05-01
79,Técnico em Máquinas,1,2014-05-01
80,Técnico em Rede Estruturada,3,2014-05-01
81,Técnico em Refrigeração,1,2014-05-01
82,Técnico em Secretariado,87,2014-05-01
83,Técnico em Secretariado I,20,2014-05-01
84,Técnico em Secretariado II,32,2014-05-01
85,Vigilante/Vigilância,270,2014-05-01
86,Webdesigner,2,2014-05-01
87,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2014-05-01
0,Ajudante de Bombeiro Hidráulico,5,2014-06-01
1,Ajudante de Eletricista,5,2014-06-01
2,Almoxarife,1,2014-06-01
3,Alvenaria,5,2014-06-01
4,Ascensorista,40,2014-06-01
5,Assistente de Fotografia,2,2014-06-01
6,Auxiliar Administrativo,1,2014-06-01
7,Auxiliar Técnico,5,2014-06-01
8,Auxiliar de Almoxarifado,24,2014-06-01
9,Auxiliar de Alvenaria,8,2014-06-01
10,Auxiliar de Biblioteca,14,2014-06-01
11,Auxiliar de Educação Infantil,22,2014-06-01
12,Auxiliar de Marcenaria,3,2014-06-01
13,Auxiliar de Mecânico de Refrigeração,3,2014-06-01
14,Auxiliar de Recepção,10,2014-06-01
15,Auxiliar de Supervisão de Marcenaria,1,2014-06-01
16,Bombeiro Civil Líder,2,2014-06-01
17,Bombeiro Civil Noturno 12X36,10,2014-06-01
18,Bombeiro Hidráulico,9,2014-06-01
19,Bomberiro Civil Diurno 12X36,26,2014-06-01
20,Borracheiro,2,2014-06-01
21,Copeira,56,2014-06-01
22,Copeiro,2,2014-06-01
23,Cozinheira,4,2014-06-01
24,Desenhista em CAD,2,2014-06-01
25,Digitalizador,138,2014-06-01
26,Eletricista,16,2014-06-01
27,Eletricista de Autos,2,2014-06-01
28,Encarregado Geral,1,2014-06-01
29,Encarregado de Elétrica,2,2014-06-01
30,Encarregado de Hidráulica,1,2014-06-01
31,Encarregado de Mecânica de Refrigeração,1,2014-06-01
32,Enfermeira Auditora,2,2014-06-01
33,Engenheiro Eletricista,2,2014-06-01
34,Engenheiro Mecânico,2,2014-06-01
35,Engenheiro Senior,1,2014-06-01
36,Engenheiro de Sistemas,1,2014-06-01
37,Garçom,29,2014-06-01
38,Garçonete,6,2014-06-01
39,Gesseiro,1,2014-06-01
40,Instrumentador Técnico,1,2014-06-01
41,Jardineiro,10,2014-06-01
42,Jauzeiro,9,2014-06-01
43,Lavador,14,2014-06-01
44,Lustrador,2,2014-06-01
45,Manutenção e Suporte Técnico,7,2014-06-01
46,Marceneiro,9,2014-06-01
47,Mecânico Leve,3,2014-06-01
48,Mecânico Pesado,3,2014-06-01
49,Mecânico de Refrigeração,6,2014-06-01
50,Mensageiro,44,2014-06-01
51,Mensageiro de Gabinete,63,2014-06-01
52,Motorista,130,2014-06-01
53,Médico Auditor,5,2014-06-01
54,Oficial Eletricista,3,2014-06-01
55,Operador da Central de Detecção,2,2014-06-01
56,Operador da Central de Supervisão Predial,2,2014-06-01
57,Operador da Central de Água Gelada,4,2014-06-01
58,Operador de Micro,1,2014-06-01
59,Operador de Áudio e Vídeo,2,2014-06-01
60,Pedagoga,1,2014-06-01
61,Pintor,4,2014-06-01
62,Preparador de Documentos,29,2014-06-01
63,Recepcionista,88,2014-06-01
64,Servente,198,2014-06-01
65,Supervisor,27,2014-06-01
66,Supervisor Geral de Serventes,1,2014-06-01
67,Supervisor de Jardinagem,1,2014-06-01
68,Supervisor de Marcenaria,1,2014-06-01
69,Supervisor de Mensageiria,2,2014-06-01
70,Supervisor de Vigilância,7,2014-06-01
71,Supervisão Geral de Vigilância,1,2014-06-01
72,Telefonista,9,2014-06-01
73,Técnico de Elevador Residente,1,2014-06-01
74,Técnico em Detecção e Alarme de Incêndio,1,2014-06-01
75,Técnico em Edificações,1,2014-06-01
76,Técnico em Eletrônica I,5,2014-06-01
77,Técnico em Eletrônica II,2,2014-06-01
78,Técnico em Manutenção,1,2014-06-01
79,Técnico em Máquinas,1,2014-06-01
80,Técnico em Rede Estruturada,3,2014-06-01
81,Técnico em Refrigeração,1,2014-06-01
82,Técnico em Secretariado,87,2014-06-01
83,Técnico em Secretariado I,20,2014-06-01
84,Técnico em Secretariado II,32,2014-06-01
85,Vigilante/Vigilância,271,2014-06-01
86,Webdesigner,2,2014-06-01
87,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2014-06-01
0,Ajudante de Bombeiro Hidráulico,5,2014-07-01
1,Ajudante de Eletricista,5,2014-07-01
2,Almoxarife,1,2014-07-01
3,Alvenaria,6,2014-07-01
4,Ascensorista,40,2014-07-01
5,Assistente de Fotografia,2,2014-07-01
6,Auxiliar Administrativo,1,2014-07-01
7,Auxiliar Técnico,5,2014-07-01
8,Auxiliar de Almoxarifado,24,2014-07-01
9,Auxiliar de Alvenaria,8,2014-07-01
10,Auxiliar de Biblioteca,14,2014-07-01
11,Auxiliar de Educação Infantil,22,2014-07-01
12,Auxiliar de Marcenaria,3,2014-07-01
13,Auxiliar de Mecânico de Refrigeração,3,2014-07-01
14,Auxiliar de Recepção,10,2014-07-01
15,Auxiliar de Supervisão de Marcenaria,1,2014-07-01
16,Bombeiro Civil Líder,2,2014-07-01
17,Bombeiro Civil Noturno 12X36,10,2014-07-01
18,Bombeiro Hidráulico,9,2014-07-01
19,Bomberiro Civil Diurno 12X36,26,2014-07-01
20,Borracheiro,2,2014-07-01
21,Copeira,56,2014-07-01
22,Copeiro,2,2014-07-01
23,Cozinheira,4,2014-07-01
24,Desenhista em CAD,2,2014-07-01
25,Digitalizador,138,2014-07-01
26,Eletricista,16,2014-07-01
27,Eletricista de Autos,2,2014-07-01
28,Encarregado Geral,1,2014-07-01
29,Encarregado de Elétrica,2,2014-07-01
30,Encarregado de Hidráulica,1,2014-07-01
31,Encarregado de Mecânica de Refrigeração,1,2014-07-01
32,Enfermeira Auditora,2,2014-07-01
33,Engenheiro Eletricista,2,2014-07-01
34,Engenheiro Mecânico,2,2014-07-01
35,Engenheiro Senior,1,2014-07-01
36,Engenheiro de Sistemas,1,2014-07-01
37,Garçom,29,2014-07-01
38,Garçonete,6,2014-07-01
39,Gesseiro,1,2014-07-01
40,Instrumentador Técnico,1,2014-07-01
41,Jardineiro,10,2014-07-01
42,Jauzeiro,9,2014-07-01
43,Lavador,14,2014-07-01
44,Lustrador,2,2014-07-01
45,Manutenção e Suporte Técnico,7,2014-07-01
46,Marceneiro,9,2014-07-01
47,Mecânico Leve,3,2014-07-01
48,Mecânico Pesado,3,2014-07-01
49,Mecânico de Refrigeração,6,2014-07-01
50,Mensageiro,44,2014-07-01
51,Mensageiro de Gabinete,63,2014-07-01
52,Motorista,130,2014-07-01
53,Médico Auditor,5,2014-07-01
54,Oficial Eletricista,3,2014-07-01
55,Operador da Central de Detecção,2,2014-07-01
56,Operador da Central de Supervisão Predial,2,2014-07-01
57,Operador da Central de Água Gelada,4,2014-07-01
58,Operador de Micro,1,2014-07-01
59,Operador de Áudio e Vídeo,2,2014-07-01
60,Pedagoga,1,2014-07-01
61,Pintor,4,2014-07-01
62,Preparador de Documentos,29,2014-07-01
63,Recepcionista,88,2014-07-01
64,Servente,198,2014-07-01
65,Supervisor,27,2014-07-01
66,Supervisor Geral de Serventes,1,2014-07-01
67,Supervisor de Jardinagem,1,2014-07-01
68,Supervisor de Marcenaria,1,2014-07-01
69,Supervisor de Mensageiria,2,2014-07-01
70,Supervisor de Vigilância,7,2014-07-01
71,Supervisão Geral de Vigilância,1,2014-07-01
72,Telefonista,9,2014-07-01
73,Técnico de Elevador Residente,1,2014-07-01
74,Técnico em Detecção e Alarme de Incêndio,1,2014-07-01
75,Técnico em Edificações,1,2014-07-01
76,Técnico em Eletrônica I,5,2014-07-01
77,Técnico em Eletrônica II,2,2014-07-01
78,Técnico em Manutenção,1,2014-07-01
79,Técnico em Máquinas,1,2014-07-01
80,Técnico em Rede Estruturada,3,2014-07-01
81,Técnico em Refrigeração,1,2014-07-01
82,Técnico em Secretariado,87,2014-07-01
83,Técnico em Secretariado I,20,2014-07-01
84,Técnico em Secretariado II,32,2014-07-01
85,Vigilante/Vigilância,270,2014-07-01
86,Webdesigner,2,2014-07-01
87,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2014-07-01
0,Ajudante de Bombeiro Hidráulico,5,2014-08-01
1,Ajudante de Eletricista,5,2014-08-01
2,Almoxarife,1,2014-08-01
3,Alvenaria,5,2014-08-01
4,Ascensorista,40,2014-08-01
5,Assistente de Fotografia,2,2014-08-01
6,Auxiliar Administrativo,1,2014-08-01
7,Auxiliar Técnico,5,2014-08-01
8,Auxiliar de Almoxarifado,24,2014-08-01
9,Auxiliar de Alvenaria,9,2014-08-01
10,Auxiliar de Biblioteca,14,2014-08-01
11,Auxiliar de Educação Infantil,22,2014-08-01
